ContactSeq,ContactID,Contact,FirstName,LastName,AccountSeq,Job Title,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone
1267,7bff141e-8935-4c64-8c78-9687c7777138,Nat Dewhurst,Nat,Dewhurst,1085,Media Manager II,35 Orin Lane,Waltham,MA,2453,United States,42.3654,-71.2316,774-944-4325
1268,2ea6436e-9be4-4080-a3ea-97a2eb66533d,Brandi Gerrit,Brandi,Gerrit,1117,Account Representative II,6 Bartelt Trail,Louisville,KY,40280,United States,38.2467,-85.6853,502-981-3302
1269,f78120c7-e79d-4993-aa5a-ca6e7d2d0626,Bunny Rannigan,Bunny,Rannigan,1028,Technical Writer,37302 Eggendart Street,Winston Salem,NC,27105,United States,36.144,-80.2376,336-662-2863
1270,051a8c67-234c-476a-ac42-ff0ae1b033c9,Shandie Castelot,Shandie,Castelot,1018,Payment Adjustment Coordinator,128 Sunnyside Trail,Seattle,WA,98133,United States,47.7377,-122.3431,206-584-0993
1271,b224ae85-ba98-4ada-9f04-31c59bb0f793,Franky Betke,Franky,Betke,1145,Financial Analyst,7604 Lindbergh Circle,Pueblo,CO,81015,United States,38.1286,-104.5523,719-779-6681
1272,0a8a9244-04bd-449e-bf28-7e99475cfacc,Horatio Hathaway,Horatio,Hathaway,1001,Senior Cost Accountant,8 Meadow Ridge Terrace,San Antonio,TX,78291,United States,29.4375,-98.4616,210-576-7086
1273,111e0066-ba8a-42ac-b50f-893a0b17506a,Sergei Cerman,Sergei,Cerman,1130,Administrative Officer,55 Kensington Parkway,Bismarck,ND,58505,United States,46.8165,-100.7805,701-388-1323
1274,c545abee-0aec-478e-89d4-5210c1db6c3f,Corrie Gilardi,Corrie,Gilardi,1141,Sales Representative,596 Northport Drive,Gatesville,TX,76598,United States,31.3902,-97.7993,254-306-5793
1275,ba350ac5-8711-48b6-98bd-3b52739a2f16,Reinwald Imason,Reinwald,Imason,1037,Marketing Assistant,856 Eagan Place,Naples,FL,34108,United States,26.2416,-81.8071,941-856-6060
1276,d1d2b5b6-b27d-4350-9b53-daf276307309,Harli Wiggans,Harli,Wiggans,1065,Biostatistician IV,05 Golf View Avenue,Salt Lake City,UT,84170,United States,40.6681,-111.9083,801-737-3038
1277,5ea3cdba-8bfa-4b1e-b103-4c61fa22a37b,Talbert Blanning,Talbert,Blanning,1040,Health Coach II,2 Sunbrook Plaza,San Bernardino,CA,92405,United States,34.1446,-117.3013,909-590-7528
1278,5f33fcc0-7917-4903-be30-440c9e45520c,Miranda Gallant,Miranda,Gallant,1045,Software Test Engineer II,4 Lerdahl Center,Denton,TX,76205,United States,33.1903,-97.1282,682-105-9569
1279,a0dbf479-21e6-480d-b2b9-b9033e2b153a,Isa Reilly,Isa,Reilly,1080,Legal Assistant,10893 Thierer Street,New York City,NY,10090,United States,40.7808,-73.9772,212-995-5476
1280,5457528f-766e-4f16-9b80-44dc1992fd7d,Jaymie Walters,Jaymie,Walters,1016,Senior Cost Accountant,82 Schiller Road,New York City,NY,10029,United States,40.7918,-73.9448,646-707-4358
1281,1c393f86-0135-4c8c-b44d-ff2e7cc88ccb,Yettie Holywell,Yettie,Holywell,1102,Actuary,469 Sauthoff Drive,Sarasota,FL,34238,United States,27.2427,-82.4751,941-951-4678
1282,22855768-84fb-4b13-8bc0-86fa22929299,Karlee Lewsie,Karlee,Lewsie,1053,Environmental Tech,4173 La Follette Lane,San Antonio,TX,78235,United States,29.3494,-98.4422,210-378-4219
1283,b61fef0d-5ed6-4fdc-a347-89b9f7cd9e86,Reba Misselbrook,Reba,Misselbrook,1119,Recruiter,71 Esker Trail,Columbia,SC,29208,United States,33.9937,-81.0199,803-623-9708
1284,b00c2188-75c1-4e44-b833-807b67c29929,Agustin Waghorne,Agustin,Waghorne,1113,Automation Specialist II,48362 Glendale Circle,Inglewood,CA,90398,United States,33.7866,-118.2987,310-243-2072
1285,7b1ffc9b-e873-4b62-8df2-a60b407e65f3,Reena Olyfant,Reena,Olyfant,1000,Help Desk Operator,28121 Menomonie Drive,Spokane,WA,99215,United States,47.6536,-117.4317,509-993-7745
1286,9fbf2d43-2ab4-4863-90ec-fd1741c122e0,Kit Burdge,Kit,Burdge,1037,VP Marketing,65 Shasta Parkway,Albany,NY,12242,United States,42.6149,-73.9708,518-636-6145
1287,1550fd73-0f04-4440-a983-88baedd58d34,Hortensia McCandie,Hortensia,McCandie,1068,Senior Cost Accountant,66698 Lien Street,Orlando,FL,32819,United States,28.4522,-81.4678,941-418-3980
1288,e4cf2aa7-718a-45d2-99bc-53aaab4e2ec6,Brietta Griffen,Brietta,Griffen,1041,Librarian,3 Sauthoff Way,Portland,OR,97296,United States,45.5806,-122.3748,503-744-8743
1289,4b100d5f-0acb-49be-ba52-b3ad7e19af40,Norris Kane,Norris,Kane,1135,Quality Engineer,125 Moose Way,Raleigh,NC,27621,United States,35.7977,-78.6253,919-421-3280
1290,7a2832bd-94b5-4fa5-8f9a-6cb4e4dc370c,Anette Brinsford,Anette,Brinsford,1066,Chemical Engineer,17 Badeau Alley,Chattanooga,TN,37450,United States,35.2211,-85.2091,423-347-4042
1291,d436ec73-6774-428f-9e12-cb1cfa59b4c4,Susie Pykett,Susie,Pykett,1082,Research Associate,004 Paget Drive,Phoenix,AZ,85030,United States,33.2765,-112.1872,602-724-9795
1292,19c72f38-074e-40e5-a81c-011df9c16385,Jehu Walford,Jehu,Walford,1098,Human Resources Assistant II,94054 Westend Avenue,Minneapolis,MN,55458,United States,45.0159,-93.4719,612-230-2769
1293,fb4b0eed-a645-4060-b5ce-4cbf5eb86fe3,Jacinta McIlwaine,Jacinta,McIlwaine,1137,Quality Engineer,494 Troy Park,Oakland,CA,94605,United States,37.7641,-122.1633,510-651-5779
1294,eebd6c4a-63cb-47e1-acf0-b66a218c8834,Jemimah Velte,Jemimah,Velte,1021,Chemical Engineer,42074 Lunder Street,Lansing,MI,48901,United States,42.5992,-84.372,517-300-5355
1295,2aabee5e-525d-48bc-a9a5-631ae9d95ac9,Jodie Watmough,Jodie,Watmough,1124,Executive Secretary,99378 Towne Hill,Troy,MI,48098,United States,42.5991,-83.1789,248-128-6823
1296,efd0cf81-d4e9-4fca-aecc-521470ac6f20,Winona Bridell,Winona,Bridell,1027,Community Outreach Specialist,814 Tennessee Way,Jersey City,NJ,7310,United States,40.7324,-74.0431,551-630-6108
1297,f3cc9097-607c-4b12-8e5c-7efe9ba0a8a2,Cosette Klimashevich,Cosette,Klimashevich,1105,Automation Specialist I,4 Jay Place,Hyattsville,MD,20784,United States,38.9513,-76.8958,301-707-1692
1298,69d8b966-dd60-43d3-ba0a-3b9c685f0822,Dallon Ganter,Dallon,Ganter,1100,Senior Cost Accountant,3141 Kim Center,Fresno,CA,93721,United States,36.7377,-119.7843,209-330-2821
1299,ac437b3c-98d1-4339-8f44-726448bdfaa7,Prentiss Vince,Prentiss,Vince,1104,Teacher,1 6th Terrace,Dallas,TX,75342,United States,32.7673,-96.7776,214-353-0849
